es_monitor,SVC,epoch,step
178.0,0.0,178,1789
179.0,0.0,179,1799
180.0,0.0,180,1809
181.0,0.0,181,1819
182.0,0.0,182,1829
183.0,0.0,183,1839
184.0,0.0,184,1849
185.0,0.0,185,1859
186.0,0.0,186,1869
187.0,0.0,187,1879
188.0,0.0,188,1889
189.0,0.0,189,1899
190.0,0.0,190,1909
191.0,0.0,191,1919
192.0,0.0,192,1929
193.0,0.0,193,1939
194.0,0.0,194,1949
195.0,0.0,195,1959
196.0,0.0,196,1969
197.0,0.0,197,1979
198.0,0.0,198,1989
199.0,0.0,199,1999
200.0,0.0,200,2009
201.0,0.0,201,2019
202.0,0.0,202,2029
203.0,0.0,203,2039
204.0,0.0,204,2049
205.0,0.0,205,2059
206.0,0.0,206,2069
207.0,0.0,207,2079
208.0,0.0,208,2089
209.0,0.0,209,2099
210.0,0.0,210,2109
211.0,0.0,211,2119
212.0,0.0,212,2129
213.0,0.0,213,2139
214.0,0.0,214,2149
215.0,0.0,215,2159
216.0,0.0,216,2169
217.0,0.0,217,2179
218.0,0.0,218,2189
219.0,0.0,219,2199
220.0,0.0,220,2209
221.0,0.0,221,2219
222.0,0.0,222,2229
223.0,0.0,223,2239
224.0,0.0,224,2249
225.0,0.0,225,2259
226.0,0.0,226,2269
227.0,0.0,227,2279
228.0,0.0,228,2289
229.0,0.0,229,2299
230.0,0.0,230,2309
231.0,0.0,231,2319
232.0,0.0,232,2329
233.0,0.0,233,2339
234.0,0.0,234,2349
235.0,0.0,235,2359
236.0,0.0,236,2369
237.0,0.0,237,2379
238.0,0.0,238,2389
239.0,0.0,239,2399
240.0,0.0,240,2409
241.0,0.0,241,2419
242.0,0.0,242,2429
243.0,0.0,243,2439
244.0,0.0,244,2449
245.0,0.0,245,2459
246.0,0.0,246,2469
247.0,0.0,247,2479
248.0,0.0,248,2489
249.0,0.0,249,2499
250.0,0.0,250,2509
251.0,0.0,251,2519
252.0,0.0,252,2529
253.0,0.0,253,2539
254.0,0.0,254,2549
255.0,0.0,255,2559
256.0,0.0,256,2569
257.0,0.0,257,2579
258.0,0.0,258,2589
259.0,0.0,259,2599
260.0,0.0,260,2609
261.0,0.0,261,2619
262.0,0.0,262,2629
263.0,0.0,263,2639
264.0,0.0,264,2649
265.0,0.0,265,2659
266.0,0.0,266,2669
267.0,0.0,267,2679
268.0,0.0,268,2689
269.0,0.0,269,2699
270.0,0.0,270,2709
271.0,0.0,271,2719
272.0,0.0,272,2729
273.0,0.0,273,2739
274.0,0.0,274,2749
275.0,0.0,275,2759
276.0,0.0,276,2769
277.0,0.0,277,2779
278.0,0.0,278,2789
279.0,0.0,279,2799
280.0,0.0,280,2809
281.0,0.0,281,2819
282.0,0.0,282,2829
283.0,0.0,283,2839
284.0,0.0,284,2849
285.0,0.0,285,2859
286.0,0.0,286,2869
287.0,0.0,287,2879
288.0,0.0,288,2889
289.0,0.0,289,2899
290.0,0.0,290,2909
291.0,0.0,291,2919
292.0,0.0,292,2929
293.0,0.0,293,2939
294.0,0.0,294,2949
295.0,0.0,295,2959
296.0,0.0,296,2969
297.0,0.0,297,2979
298.0,0.0,298,2989
299.0,0.0,299,2999
300.0,0.0,300,3009
301.0,0.0,301,3019
302.0,0.0,302,3029
303.0,0.0,303,3039
304.0,0.0,304,3049
305.0,0.0,305,3059
306.0,0.0,306,3069
307.0,0.0,307,3079
308.0,0.0,308,3089
309.0,0.0,309,3099
310.0,0.0,310,3109
311.0,0.0,311,3119
312.0,0.0,312,3129
313.0,0.0,313,3139
314.0,0.0,314,3149
315.0,0.0,315,3159
316.0,0.0,316,3169
317.0,0.0,317,3179
318.0,0.0,318,3189
319.0,0.0,319,3199
320.0,0.0,320,3209
321.0,0.0,321,3219
322.0,0.0,322,3229
323.0,0.0,323,3239
324.0,0.0,324,3249
325.0,0.0,325,3259
326.0,0.0,326,3269
327.0,0.0,327,3279
328.0,0.0,328,3289
329.0,0.0,329,3299
330.0,0.0,330,3309
331.0,0.0,331,3319
332.0,0.0,332,3329
333.0,0.0,333,3339
334.0,0.0,334,3349
335.0,0.0,335,3359
336.0,0.0,336,3369
337.0,0.0,337,3379
338.0,0.0,338,3389
339.0,0.0,339,3399
340.0,0.0,340,3409
341.0,0.0,341,3419
342.0,0.0,342,3429
343.0,0.0,343,3439
344.0,0.0,344,3449
345.0,0.0,345,3459
346.0,0.0,346,3469
347.0,0.0,347,3479
348.0,0.0,348,3489
349.0,0.0,349,3499
350.0,0.0,350,3509
351.0,0.0,351,3519
352.0,0.0,352,3529
353.0,0.0,353,3539
354.0,0.0,354,3549
355.0,0.0,355,3559
356.0,0.0,356,3569
357.0,0.0,357,3579
358.0,0.0,358,3589
359.0,0.0,359,3599
360.0,0.0,360,3609
361.0,0.0,361,3619
362.0,0.0,362,3629
363.0,0.0,363,3639
364.0,0.0,364,3649
365.0,0.0,365,3659
366.0,0.0,366,3669
367.0,0.0,367,3679
368.0,0.0,368,3689
369.0,0.0,369,3699
370.0,0.0,370,3709
371.0,0.0,371,3719
372.0,0.0,372,3729
373.0,0.0,373,3739
374.0,0.0,374,3749
375.0,0.0,375,3759
376.0,0.0,376,3769
377.0,0.0,377,3779
378.0,0.0,378,3789
379.0,0.0,379,3799
380.0,0.0,380,3809
381.0,0.0,381,3819
382.0,0.0,382,3829
383.0,0.0,383,3839
384.0,0.0,384,3849
385.0,0.0,385,3859
386.0,0.0,386,3869
387.0,0.0,387,3879
388.0,0.0,388,3889
389.0,0.0,389,3899
390.0,0.0,390,3909
391.0,0.0,391,3919
392.0,0.0,392,3929
393.0,0.0,393,3939
394.0,0.0,394,3949
395.0,0.0,395,3959
396.0,0.0,396,3969
397.0,0.0,397,3979
398.0,0.0,398,3989
399.0,,399,3999
